code_city,pop_city
120001,15490
120005,7534
120010,26702
120013,10420
120017,12008
120020,89072
120025,18696
120030,34884
120032,8473
120034,9581
120035,19299
120033,19311
120038,19955
120080,18824
120039,12241
120040,413418
120042,19351
120043,6717
120050,46511
120045,23236
120060,43151
120070,19596
270020,17526
270030,233047
270040,47365
270050,16068
270060,8378
270070,18338
270090,6710
270080,4284
270100,27356
270110,10460
270120,10889
270130,21331
270135,6954
270140,57537
270150,9567
270160,17719
270170,16979
270180,9159
270190,7311
270200,10643
270210,21818
270220,5864
270230,57294
270235,24309
270240,52262
270250,11067
270255,18255
270260,22178
270270,4779
270280,12807
270290,41237
270300,15627
270310,25613
270320,24586
270330,18392
270340,5219
270350,7006
270360,8403
270370,5761
270375,11536
270380,24081
270390,4137
270400,24722
270410,17771
270420,28771
270430,1025360
270440,19864
270490,3494
270450,33032
270460,9004
270470,52380
270480,13193
270500,25207
270510,24634
270520,18031
270530,5322
270540,7165
270550,28333
270560,12764
270590,5128
270570,21738
270580,9441
270600,11657
270610,11535
270620,5037
270630,73337
270642,10539
270644,13332
270650,15258
270660,7560
270670,63846
270680,17848
270690,35212
270700,2905
270710,25183
270730,27249
270750,20112
270740,7701
270720,14418
270640,24351
270760,11248
270770,75394
270780,6649
270790,7320
270800,47819
270810,10687
270890,13936
270895,13921
270820,6969
270830,23996
270840,32405
270850,34692
270860,61797
270870,8013
270880,34290
270900,6138
270910,20072
270915,44372
270920,27826
270930,65790
270940,25693
270010,20230
130002,16220
130006,11736
130008,13956
130010,21477
130014,22359
130020,20398
130030,40290
130040,27638
130050,32483
130060,43935
130063,20093
130068,19626
130070,34635
130080,41748
130083,13283
130090,15807
130100,28508
130110,38348
130115,30846
130120,85910
130130,29168
130140,35700
130150,20393
130160,17005
130165,16937
130170,56144
130180,30436
130185,49011
130190,102701
130195,7814
130200,9230
130210,2251
130220,15106
130230,13886
130240,46882
130250,98502
130255,33049
130260,2219580
130270,56583
130280,18261
130290,65040
130300,21443
130310,38026
130320,19928
130330,26046
130340,115363
130350,19522
130353,37193
130356,34106
130360,25865
130370,21243
130400,9230
130380,46303
130390,40073
130395,14352
130406,67182
130410,17015
130420,59547
130423,18897
130426,13690
130430,16130
130440,23585
160010,9187
160020,11306
160021,6101
160023,7967
160025,5617
160027,51362
160030,512902
160040,22053
160050,27906
160015,17067
160053,22452
160055,5246
160060,123096
160005,5488
160070,17769
160080,16254
290020,20347
290010,8710
290030,15187
290035,17126
290060,4416
290070,152327
290080,22490
290090,5366
290100,37441
290110,25048
290115,16090
290120,21607
290130,13132
290135,14503
290140,13938
290150,11297
290160,19479
290170,11677
290180,11878
290190,17788
290195,7302
290200,13045
290210,54648
290220,11461
290225,10961
290230,8837
290205,12208
290240,11299
290250,13929
290260,20449
290265,13240
290270,53910
290280,20392
290290,31209
290300,13833
290310,5612
290320,156975
290323,15054
290330,5448
290327,16105
290340,23437
290350,17109
290360,15984
290370,12329
290380,18531
290390,69662
290395,9823
290400,14446
290405,16884
290410,21497
290420,10129
290440,10618
290430,14222
290450,10130
290460,67335
290470,18306
290475,21276
290480,6488
290485,18911
290490,33567
290500,23291
290515,14608
290520,51081
290530,18513
290540,18427
290550,13391
290560,32006
