REGIAO;IDADE;POPULACAO
North;0;323731
North;1;324304
North;2;325133
North;3;317612
North;4;318255
North;5;328619
North;6;326172
North;7;320839
North;8;322263
North;9;322461
North;10;325243
North;11;335215
North;12;338301
North;13;339380
North;14;342132
North;15;338203
North;16;338502
North;17;341316
North;18;344007
North;19;351090
North;20;351052
North;21;354613
North;22;355458
North;23;352037
North;24;345513
North;25;339567
North;26;333631
North;27;328608
North;28;325257
North;29;322730
North;30;319368
North;31;315279
North;32;311742
North;33;309124
North;34;307110
North;35;304539
North;36;301593
North;37;297242
North;38;290854
North;39;283130
North;40;275409
North;41;267504
North;42;258962
North;43;249779
North;44;240321
North;45;230656
North;46;220623
North;47;211607
North;48;204244
North;49;197998
North;50;191476
North;51;184978
North;52;178181
North;53;170817
North;54;163252
North;55;155910
North;56;148624
North;57;141776
North;58;135524
North;59;129732
North;60;123856
North;61;117945
North;62;112071
North;63;106083
North;64;100157
North;65;94287
North;66;88558
North;67;82885
North;68;77238
North;69;71748
North;70;66233
North;71;60712
North;72;55799
North;73;51644
North;74;48066
North;75;44441
North;76;40886
North;77;37487
North;78;34124
North;79;30885
North;80;27761
North;81;24731
North;82;21959
North;83;19422
North;84;17136
North;85;14897
North;86;12772
North;87;10900
North;88;9260
North;89;7834
North;90;32216
Northeast;0;827982
Northeast;1;831884
Northeast;2;836278
Northeast;3;818505
Northeast;4;822824
Northeast;5;837996
Northeast;6;821553
Northeast;7;818087
Northeast;8;834275
Northeast;9;844546
Northeast;10;850995
Northeast;11;875856
Northeast;12;893423
Northeast;13;903723
Northeast;14;928970
Northeast;15;935659
Northeast;16;936794
Northeast;17;945772
Northeast;18;948821
Northeast;19;977953
Northeast;20;999461
Northeast;21;1013729
Northeast;22;1018230
Northeast;23;1007870
Northeast;24;987727
Northeast;25;971278
Northeast;26;956265
Northeast;27;944266
Northeast;28;938660
Northeast;29;936664
Northeast;30;936808
Northeast;31;940439
Northeast;32;942366
Northeast;33;941778
Northeast;34;939022
Northeast;35;934304
Northeast;36;927539
Northeast;37;917978
Northeast;38;904824
Northeast;39;889034
Northeast;40;870858
Northeast;41;850663
Northeast;42;828300
Northeast;43;803210
Northeast;44;776858
Northeast;45;749549
Northeast;46;720118
Northeast;47;696813
Northeast;48;682853
Northeast;49;674778
Northeast;50;665427
Northeast;51;656283
Northeast;52;644351
Northeast;53;627384
Northeast;54;607087
Northeast;55;587397
Northeast;56;567813
Northeast;57;547111
Northeast;58;525094
Northeast;59;502370
Northeast;60;479302
Northeast;61;455784
Northeast;62;433751
Northeast;63;413959
Northeast;64;395878
Northeast;65;377331
Northeast;66;358519
Northeast;67;341273
Northeast;68;326001
Northeast;69;312007
Northeast;70;297575
Northeast;71;283206
Northeast;72;267829
Northeast;73;250557
Northeast;74;232500
Northeast;75;214402
Northeast;76;195824
Northeast;77;179802
Northeast;78;167189
Northeast;79;156723
Northeast;80;145540
Northeast;81;134341
Northeast;82;122417
Northeast;83;108959
Northeast;84;95166
Northeast;85;82041
Northeast;86;69284
Northeast;87;58866
Northeast;88;51084
Northeast;89;45009
Northeast;90;197669
Southeast;0;1150089
Southeast;1;1157657
Southeast;2;1164908
Southeast;3;1145956
Southeast;4;1158204
Southeast;5;1183484
Southeast;6;1156951
Southeast;7;1142534
Southeast;8;1140622
Southeast;9;1126539
Southeast;10;1115030
Southeast;11;1118676
Southeast;12;1119906
Southeast;13;1125117
Southeast;14;1149949
Southeast;15;1173074
Southeast;16;1183120
Southeast;17;1193562
Southeast;18;1221508
Southeast;19;1281940
Southeast;20;1306440
Southeast;21;1347697
Southeast;22;1375279
Southeast;23;1381256
Southeast;24;1373939
Southeast;25;1366561
Southeast;26;1354811
Southeast;27;1353176
Southeast;28;1368993
Southeast;29;1395636
Southeast;30;1415064
Southeast;31;1429388
Southeast;32;1441606
Southeast;33;1449777
Southeast;34;1454217
Southeast;35;1458226
Southeast;36;1461845
Southeast;37;1458119
Southeast;38;1444424
Southeast;39;1423257
Southeast;40;1402178
Southeast;41;1381352
Southeast;42;1355349
Southeast;43;1323154
Southeast;44;1287416
Southeast;45;1251133
Southeast;46;1212882
Southeast;47;1182587
Southeast;48;1165182
Southeast;49;1156031
Southeast;50;1144796
Southeast;51;1133093
Southeast;52;1120318
Southeast;53;1104863
Southeast;54;1087339
Southeast;55;1069434
Southeast;56;1050716
