REGIAO;IDADE;POPULACAO;POPULACAO_M;POPULACAO_F;PERC_F
North;0;323731;165579;158152;0.488529057
North;1;324304;165858;158446;0.488572451
North;2;325133;166284;158849;0.488566218
North;3;317612;162432;155180;0.488583555
North;4;318255;162758;155497;0.488592481
North;5;328619;168052;160567;0.488611431
North;6;326172;166783;159389;0.488665489
North;7;320839;164031;156808;0.488743575
North;8;322263;164740;157523;0.488802624
North;9;322461;164816;157645;0.488880826
North;10;325243;166198;159045;0.489003607
North;11;335215;171251;163964;0.489130856
North;12;338301;172785;165516;0.489256609
North;13;339380;173280;166100;0.489421887
North;14;342132;174645;167487;0.489539125
North;15;338203;172567;165636;0.489753196
North;16;338502;172597;165905;0.490115273
North;17;341316;173913;167403;0.490463383
North;18;344007;175156;168851;0.490835942
North;19;351090;178612;172478;0.491264348
North;20;351052;178369;172683;0.491901485
North;21;354613;179998;174615;0.492410036
North;22;355458;180167;175291;0.493141243
North;23;352037;178015;174022;0.494328721
North;24;345513;174115;171398;0.496068165
North;25;339567;170597;168970;0.497604302
North;26;333631;167115;166516;0.499102302
North;27;328608;164231;164377;0.500222149
North;28;325257;162401;162856;0.500699447
North;29;322730;161119;161611;0.500762247
North;30;319368;159441;159927;0.500760878
North;31;315279;157487;157792;0.500483699
North;32;311742;155699;156043;0.500551738
North;33;309124;154196;154928;0.501183991
North;34;307110;152896;154214;0.502145811
North;35;304539;151329;153210;0.503088274
North;36;301593;149540;152053;0.504166211
North;37;297242;147168;150074;0.504888273
North;38;290854;143978;146876;0.504981881
North;39;283130;140291;142839;0.5044997
North;40;275409;136595;138814;0.504028554
North;41;267504;132810;134694;0.503521443
North;42;258962;128696;130266;0.503031333
North;43;249779;124215;125564;0.502700387
North;44;240321;119599;120722;0.502336458
North;45;230656;114859;115797;0.502033331
North;46;220623;109902;110721;0.501856107
North;47;211607;105504;106103;0.50141536
North;48;204244;102020;102224;0.500499403
North;49;197998;99178;98820;0.49909595
North;50;191476;96152;95324;0.497837849
North;51;184978;93140;91838;0.496480663
North;52;178181;89873;88308;0.495608398
North;53;170817;86181;84636;0.495477616
North;54;163252;82296;80956;0.495895916
North;55;155910;78524;77386;0.496350459
North;56;148624;74777;73847;0.496871299
North;57;141776;71228;70548;0.497601851
North;58;135524;67979;67545;0.498398808
North;59;129732;64967;64765;0.499221472
North;60;123856;61871;61985;0.500460212
North;61;117945;58742;59203;0.501954301
North;62;112071;55645;56426;0.503484398
North;63;106083;52546;53537;0.504670871
North;64;100157;49512;50645;0.50565612
North;65;94287;46497;47790;0.506856725
North;66;88558;43523;45035;0.508536778
North;67;82885;40638;42247;0.509706219
North;68;77238;37791;39447;0.510720112
North;69;71748;35055;36693;0.511414952
North;70;66233;32299;33934;0.51234279
North;71;60712;29524;31188;0.513704045
North;72;55799;27041;28758;0.51538558
North;73;51644;24889;26755;0.51806599
North;74;48066;23011;25055;0.521262431
North;75;44441;21127;23314;0.524605657
North;76;40886;19297;21589;0.528029154
North;77;37487;17572;19915;0.531250834
North;78;34124;15886;18238;0.534462548
North;79;30885;14282;16603;0.537574875
North;80;27761;12747;15014;0.540830662
North;81;24731;11264;13467;0.544539242
North;82;21959;9919;12040;0.548294549
North;83;19422;8704;10718;0.551848419
North;84;17136;7619;9517;0.555380486
North;85;14897;6557;8340;0.559844264
North;86;12772;5555;7217;0.565064203
North;87;10900;4684;6216;0.570275229
North;88;9260;3920;5340;0.576673866
North;89;7834;3263;4571;0.583482257
North;90;32216;12782;19434;0.603240626
Northeast;0;827982;423732;404250;0.488235251
Northeast;1;831884;425683;406201;0.488290435
Northeast;2;836278;427881;408397;0.488350764
Northeast;3;818505;418724;399781;0.488428293
