"CO_UNIDADE";"CO_LEITO";"CO_TIPO_LEITO";"TP_ALTACOMP";"QT_EXIST";"QT_CONTR";"QT_SUS";"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')";"CO_USUARIO";"TO_CHAR(DT_ATUALIZACAO_ORIGEM,'DD/MM/YYYY')"
"3152503050297";"08";"1 ";"";"2";"";"0";"25/11/2019";"VISA";"25/04/2007"
"3152503050297";"10";"4 ";"";"6";"";"0";"25/11/2019";"KAWABE";"25/04/2007"
"3152503050297";"13";"1 ";"";"2";"";"0";"25/11/2019";"VISA";"25/04/2007"
"3152503050297";"15";"1 ";"";"2";"";"0";"25/11/2019";"KAWABE";"25/04/2007"
"3152503050297";"33";"2 ";"";"6";"";"0";"25/11/2019";"KAWABE";"25/04/2007"
"3152602776014";"03";"1 ";"";"3";"";"3";"18/07/2019";"FCESVAR";"25/04/2007"
"3152602776014";"10";"4 ";"";"3";"";"3";"18/07/2019";"FCESVAR";"25/04/2007"
"3152602776014";"43";"4 ";"";"1";"";"1";"18/07/2019";"FCESVAR";"25/04/2007"
"3152802145685";"03";"1 ";"";"3";"";"2";"21/08/2019";"FERNANDA";"25/04/2007"
"3152802145685";"10";"4 ";"";"4";"";"3";"21/08/2019";"ANDRE";"25/04/2007"
"3152802145685";"43";"4 ";"";"5";"";"4";"21/08/2019";"ANDRE";"25/04/2007"
"2412502381184";"10";"4 ";"";"6";"";"6";"06/09/2019";"GFREITAS";"19/12/2005"
"3147102206064";"03";"1 ";"";"40";"";"22";"23/01/2020";"MESTRE";"25/04/2007"
"3147102206064";"13";"1 ";"";"2";"";"2";"23/01/2020";"ADRIANA";"25/04/2007"
"3147102206064";"43";"4 ";"";"5";"";"4";"23/01/2020";"MESTRE";"25/04/2007"
"3147202796341";"03";"1 ";"";"5";"";"5";"04/06/2019";"EDEVANE";"25/04/2007"
"5206402519445";"33";"2 ";"";"10";"";"8";"26/09/2019";"FCES";"11/11/2004"
"5206802381834";"33";"2 ";"";"8";"";"8";"11/10/2019";"FCES";"11/11/2004"
"5207902535327";"45";"5 ";"";"2";"";"2";"06/03/2019";"relton";"11/11/2004"
"5208402334011";"45";"5 ";"";"6";"";"6";"21/08/2019";"ICS";"11/11/2004"
"5208602570076";"06";"1 ";"";"4";"";"2";"07/08/2019";"RICARDO";"11/11/2004"
"5208602570076";"33";"2 ";"";"10";"";"6";"07/08/2019";"RICARDO";"11/11/2004"
"5208602570076";"45";"5 ";"";"5";"";"1";"07/08/2019";"RICARDO";"11/11/2004"
"5209802534797";"06";"1 ";"";"2";"";"2";"26/06/2019";"DIEYME";"11/11/2004"
"5209802534797";"33";"2 ";"";"14";"";"14";"26/06/2019";"DIEYME";"11/11/2004"
"5209802534797";"45";"5 ";"";"5";"";"5";"26/06/2019";"DIEYME";"11/11/2004"
"5209952343185";"03";"1 ";"";"4";"";"4";"08/01/2020";"SAUDE10";"11/11/2004"
"5209952343185";"33";"2 ";"";"8";"";"8";"08/01/2020";"SAUDE10";"11/11/2004"
"5209952442701";"03";"1 ";"";"5";"";"0";"16/04/2019";"SAUDE10";"11/11/2004"
"5209952442701";"10";"4 ";"";"4";"";"0";"16/04/2019";"SAUDE10";"11/11/2004"
"2102702307510";"03";"1 ";"";"12";"";"12";"03/09/2019";"CHICO";"11/07/2005"
"2102702307510";"43";"4 ";"";"13";"";"13";"03/09/2019";"CHICO";"11/07/2005"
"2211006738397";"07";"7 ";"";"3";"";"0";"08/04/2011";"FATIMA";"11/04/2011"
"2103252726610";"03";"1 ";"";"5";"";"5";"04/03/2020";"SEMUS";"11/07/2005"
"3171302129426";"15";"1 ";"";"3";"";"0";"02/07/2019";"zilda";"20/06/2004"
"3304557954549";"33";"2 ";"";"77";"";"0";"25/07/2019";"HIGHIG";"10/05/2016"
"2705504020405";"33";"2 ";"";"17";"";"17";"27/12/2019";"SAUDE";"11/07/2005"
"2705504020405";"45";"5 ";"";"7";"";"7";"27/12/2019";"SAUDE";"11/07/2005"
"2609153513351";"33";"2 ";"";"5";"";"5";"28/01/2020";"DIOGO";"11/07/2005"
